名称,J_shopt href,地址,city,经纬度,tel,time,北京树村丽景苑距离,北京树村丽景苑时间,北京海淀区万家灯火大厦距离,北京海淀区万家灯火大厦时间,北京海淀区上地5号咖啡厅距离,北京海淀区上地5号咖啡厅时间
百年滋味·花甲烤鱼,https://www.dianping.com/shop/H9ioVzEMMXp96jt5,数博大道万达广场A栋5楼,[贵阳],,13985328111,2024/10/5 14:55,,,,,,
兮禾酒馆,https://www.dianping.com/shop/l7WBX5skxBApI0ZK,护国路尚武小区内,[贵阳],,85555979,2024/10/5 14:46,,,,,,
莲花坡小吕烤肉,https://www.dianping.com/shop/H8jDOeKM6SEtbYkw,黔灵东路街道文昌北路65号(鱼米捞对面),[贵阳],,13984808217,2024/10/5 14:45,,,,,,
怪噜范·老贵阳街头名小吃,https://www.dianping.com/shop/j9jV9iYCVT1t44xM,金阳南路华润万象汇5层L535号,[贵阳],,84148780,2024/10/5 14:44,,,,,,
丝恋丝娃娃,https://www.dianping.com/shop/l4GpBT4R7LtFd1KN,中华北路1号国贸广场7楼701-702号,[贵阳],,86835025,2024/10/5 14:36,,,,,,
SeekSeeking,https://www.dianping.com/shop/G5AEV23GDRaru1iq,堰塘街22号,[贵阳],,18685198321,2024/10/5 11:50,,,,,,
毛辣果虾酸牛肉火锅,https://www.dianping.com/shop/k4wRAcST1dBMsCSc,护国路180号二层,[贵阳],,85867968,2024/10/5 11:49,,,,,,
顶素小吃烫皮牛肉馆,https://www.dianping.com/shop/l3YoxlVG9EvS0RgY,487乡道下纳灰村寨布衣街,[兴义市],,15121579782,2024/10/4 1:00,,,,,,
周记碳火打边炉,https://www.dianping.com/shop/G7WpoqpS9tEQenRh,文化路云享朴墅客栈南行120米,[兴义市],,15348596555,2024/10/4 1:00,,,,,,
来屋头玩万峰林馆,https://www.dianping.com/shop/G6jwjg8PQPcTiLpN,翁本村石龙组康养谷,[兴义市],,19184497555,2024/10/4 0:59,,,,,,
稻花鱼农庄,https://www.dianping.com/shop/l3QqmPpzdaeL0PcJ,487乡道办上纳灰村中寨组,[兴义市],,13595906015,2024/10/4 0:57,,,,,,
黄小川布依特色酸笋牛肉,https://www.dianping.com/shop/H3bG58WDQBnkQBMu,606县道依丹蛋炒饭对面,[兴义市],,18185995153,2024/10/4 0:53,,,,,,
铁哥特色兴仁盒子粑,https://www.dianping.com/shop/H7nbmFMM8r58aQMZ,金水南路明浩天元8.9号,[兴义市],,15338597333,2024/10/4 0:51,,,,,,
聂家剪粉,https://www.dianping.com/shop/H8wgPt0sAjAmA0vd,市府南路48号,[兴义市],,13985090224,2024/10/4 0:51,,,,,,
可比鲜奶茶店,https://www.dianping.com/shop/G4yCGBljT6Sm6FdK,黄草街道向阳社区沙井南路(黄金公司门面),[兴义市],,13086982330,2024/10/4 0:50,,,,,,
古村落羊肉粉,https://www.dianping.com/shop/G95vXdNtj2WOFkxY,更好街下纳灰村1号,[兴义市],,18208636136,2024/10/4 0:45,,,,,,
老字号梅记烧鸭,https://www.dianping.com/shop/H4XqGbRPCg5CJojG,铁匠街48号,[兴义市],,18685997520,2024/10/4 0:42,,,,,,
牧岚咖啡馆,https://www.dianping.com/shop/FK4ZnV3Wh5TCm2mM,万峰林景区,[兴义市],,19391198550,2024/10/4 0:30,,,,,,
花笙Villa乡野度假,https://www.dianping.com/shop/k2XV7YlRHaiJWRzX,子边二组8号,[兴义市],,19329352888,2024/10/4 0:30,,,,,,
将军峰黄秀蛋炒饭,https://www.dianping.com/shop/H9yuXtZvSWFvIWLt,487乡道万峰林南400米,[兴义市],,13595963426,2024/10/4 0:26,,,,,,
朋来干面馆,https://www.dianping.com/shop/laTUjALH2Cg0xMIc,南水路27号1/2号铺面,[安顺],,13158317755,2024/10/4 0:26,,,,,,
甜院·冰粉冰浆芋圆,https://www.dianping.com/shop/k1N2GkgQ0mOb9cOw,东街街道太和街54号,[安顺],,15599196453,2024/10/3 16:10,,,,,,
左记豆腐圆子店,https://www.dianping.com/shop/l4DBFu98sClFgFTw,东街街道顾府街(近西西弗书店),[安顺],,13017083138,2024/10/3 14:00,,,,,,
NAP COFFEE STAND,https://www.dianping.com/shop/k89uuKmwuZfxgrKC,龙青路中段天瀑阳光碧园1-13号,[安顺],,18985700965,2024/10/3 12:47,,,,,,
王记首家多味香辣裹卷,https://www.dianping.com/shop/k1cjR5TYk7GwnNTX,西西弗书店楼下（西西弗）,[安顺],,13765389908,2024/10/2 14:05,,,,,,
千秋鹅肉粉面,https://www.dianping.com/shop/k6obWxwSdsMCeF6K,市西路70号附3-4号铺面,[安顺],,13086903381,2024/10/2 11:46,,,,,,
刘成刚刘老实食府,https://www.dianping.com/shop/G1aEEfXAtfq7c3xW,合掌岩路与西航路交叉口西北角,[安顺],,16685677749,2024/10/2 11:46,,,,,,
程老六砂锅饭,https://www.dianping.com/shop/l6wDsbK1rpcWT8tY,蒋衙街1号7号铺面,[安顺],,13308534808,2024/10/2 11:45,,,,,,
赵记卤粉,https://www.dianping.com/shop/H7PxkXEbbgRUkvPU,"中华西路西街乐购城1栋B-54,B-55号铺",[安顺],,13885384911,2024/10/2 11:45,,,,,,
陈记镇宁老城佳鸡蛋糕店,https://www.dianping.com/shop/l4KZZZ5IIbT1meTZ,东街33号,[镇宁布依族苗族自治县],,13638532555,2024/10/2 11:45,,,,,,
小芳剪粉,https://www.dianping.com/shop/G3T4ymigZ5XVXTsP,人民路与公安路交叉口,[镇宁布依族苗族自治县],,13885379011,2024/10/2 11:44,,,,,,
金沙旺回头羊肉粉面馆,https://www.dianping.com/shop/H9hFJgYVdOj4yQHI,西航街道新世纪小区北门人行门(南马广场西南),[安顺],,13595327056,2024/10/2 11:44,,,,,,
幺铺78号毛肚火锅店,https://www.dianping.com/shop/k9tm4g8FtSEZZJmj,新和路西秀新天地4区永留鱼香烤鱼东南20米,[安顺],,13885317046,2024/10/2 11:43,,,,,,
杨孃孃屯堡烤小肠,https://www.dianping.com/shop/l1yqCjAgLolCGwbY,体育路顶尖KTV对面,[安顺],,15902531257,2024/10/2 11:43,,,,,,
屯滋味,https://www.dianping.com/shop/G3LuDJBiK4WfhmkX,葡华欧洲城25栋1-10,[安顺],,18153135777,2024/10/2 11:42,,,,,,
纠纠小肉串,https://www.dianping.com/shop/l6SSR3mtgR8zYiwT,龙泉路塔山东路2号,[安顺],,13985711101,2024/10/2 11:42,,,,,,
小芳砂锅凉粉,https://www.dianping.com/shop/G2PWa79xL4XzQarF,民主路牟家井3号1栋1号铺面,[安顺],,13885337238,2024/10/2 11:42,,,,,,
老东坡丝娃娃店,https://www.dianping.com/shop/H5i5aKVqhZOubVAc,民主路5号楼二层铺（恒远意通百货对面二楼）,[安顺],,13885346308,2024/10/2 11:42,,,,,,
蒋记牛肉粉,https://www.dianping.com/shop/G4bAGCriPMI3FljZ,南华西路20号,[安顺],,18985300869,2024/10/2 11:41,,,,,,
老字号新桥罗记肉饼店,https://www.dianping.com/shop/i78NqUGIrABGehoE,蒋衙街16号附1号,[安顺],,13984433959,2024/10/2 11:41,,,,,,
谷记·五星·豆腐圆子,https://www.dianping.com/shop/H3hbItVZnkhArkVA,石板街留一手后面儒林集装箱集市F-31号铺面,[安顺],,13508535559,2024/10/2 11:41,,,,,,
董记麻饼,https://www.dianping.com/shop/k5YYk0gBnq1mJFS2,中华东路13号,[安顺],,15908532464,2024/10/2 11:41,,,,,,
小舒冰粉冰浆,https://www.dianping.com/shop/l8U5NSn8Tjtp7IJ0,中华东路,[安顺],,18308536291,2024/10/2 11:40,,,,,,
鑫荣甜品店,https://www.dianping.com/shop/k4ie5TSOOpBqsLub,中华东路与顾府街交叉口东南100米,[安顺],,15902649282,2024/10/2 11:40,,,,,,
罗记花江手工超薄剪粉,https://www.dianping.com/shop/H7DWBotPzn1gyfuY,南水路16栋,[安顺],,18224708565,2024/10/2 11:39,,,,,,
陈玲荞凉粉店,https://www.dianping.com/shop/l7i88jIKPEdPJMut,中华南路与将衙街交口东行20米路北,[安顺],,13765379484,2024/10/2 11:37,,,,,,
朱记酸汤砂锅粉,https://www.dianping.com/shop/l17cnzLiTo4QtiSZ,建国路兴源商场通道（将衙街路口往里200米）,[安顺],,18744737101,2024/10/2 11:37,,,,,,
丕敏小锅凉粉,https://www.dianping.com/shop/G3Y2YBISeNT3yNh6,太和街45号对面,[安顺],,14785838356,2024/10/2 11:36,,,,,,
红祥破酥包,https://www.dianping.com/shop/G6KxUtYueiIgTulN,太和街恒远意通百货旁,[安顺],,13885354162,2024/10/2 11:36,,,,,,
新桥胡记油炸粑稀饭,https://www.dianping.com/shop/kamgMPuFV0x6BzlL,体育路11号商铺,[安顺],,18285336388,2024/10/2 11:28,,,,,,
小翔干面,https://www.dianping.com/shop/l2s4kODD4AREbCA9,西航路61附近,[安顺],,13208536556,2024/10/2 11:27,,,,,,
小翔干面,https://www.dianping.com/shop/H3zIperAnbQtiq6q,中华南路南段52号,[安顺],,18084300409,2024/10/2 11:27,,,,,,
支记牛肉粉馆,https://www.dianping.com/shop/G5k1LtJrtJiIcPBw,中华北路老大十字卫坝口9号铺,[安顺],,13508537398,2024/10/2 11:27,,,,,,
支记牛肉粉,https://www.dianping.com/shop/l6iVrZ6phhQCGZXX,黄果树大街国际佳缘2栋1单元17号商铺,[安顺],,18788656257,2024/10/2 11:27,,,,,,
龙老太味全夺夺粉,https://www.dianping.com/shop/l8YnyLfBKKovL7zf,凤缘路国际佳缘13栋1楼8号铺面,[安顺],,17685239980,2024/10/2 11:12,,,,,,
蒋记龍府大竹签烤肉,https://www.dianping.com/shop/G6bsOmVIPwzolxNt,黄果树大街亿丰国际汽车物流园内二期14栋一层13-24号铺面、二期15栋一层3-6号、11-14号铺面,[安顺],,33777773,2024/10/1 21:21,,,,,,
国芳屯堡烤小肠,https://www.dianping.com/shop/l63B0W7xaY2r4u69,市西路瑞幸咖啡斜对面,[安顺],,13017091840,2024/10/1 20:24,,,,,,
凤翥酒楼,https://www.dianping.com/shop/k5f9Rcxf42H8JNIA,石化新两所屯加油站旁,[安顺],,15008535816,2024/10/1 20:22,,,,,,
苗鄉牛汤锅,https://www.dianping.com/shop/G7eOmMsO04sMz9BI,定安大道神骏文旅小镇北门,[安顺],,13765347007,2024/10/1 20:22,,,,,,
千秋鹅肉粉面,https://www.dianping.com/shop/H1H2KM557AeL10PD,花鸟市场A7栋1号铺,[安顺],,18690780766,2024/10/1 20:18,,,,,,
龚二姐湖南粉面店,https://www.dianping.com/shop/EIDryXgrLlf0q6tW,花园路2号33号楼一层107,[北京],,18075619570,2024/9/30 20:49,,,,,,
新辣道鱼火锅,https://www.dianping.com/shop/kaKalIs0N6xaMEjv,华联商厦上地购物中心四层F4-14,[北京],,62667993,2024/9/27 21:11,,,,,,
OKla Brunch•Bar手工意面餐酒吧,https://www.dianping.com/shop/k2sr34sJ2qGJxZ3W,凤山拾遗创意园11幢101,[杭州],,18072941672,2024/9/25 0:26,,,,,,
杳無书店,https://www.dianping.com/shop/G6znvrT0YOplvO8c,龙湖唐宁ONE2号楼122底商,[北京],,15652717306,2024/9/25 0:13,,,,,,
炸牛排 京都勝牛,https://www.dianping.com/shop/l1mpt6SUiEO98Z1Q,〒101-0028 東京都千代田区神田花岡町1-1ヨドバシAkiba8F,[东京],,-34612905,2024/9/15 15:27,,,,,,
炸牛排 京都胜牛,https://www.dianping.com/shop/H5nKtvrqWZl5Cytq,京都府京都市下京区真苧屋町２１１,[京都],,-3654182,2024/9/15 15:26,,,,,,
NaNa Restaurant,https://www.dianping.com/shop/l3Q4jYmfhMsM7TxB,798艺术区创意广场798CUBE东侧,[北京],,18612222722,2024/9/14 18:24,,,,,,
沁旺达餐厅,https://www.dianping.com/shop/l4k1qZ8YiPzQ4S9O,马连道南街6号院1号楼一层1A102-1A103、1T01-1T04号,[北京],,63474611,2024/9/14 0:10,,,,,,
沁旺达海鲜餐厅,https://www.dianping.com/shop/FKv8vyPoFkzJ9EFb,马连道东街2号32幢1楼（希尔顿酒店院内）,[北京],,13261992258,2024/9/14 0:10,,,,,,
滩羊铺子新疆烧烤掌门人,https://www.dianping.com/shop/k5QkuJtAxDRrdW38,白家疃西路观麓园17号楼2楼（近温泉公园）,[北京],,13910263820,2024/9/12 12:04,,,,,,
汕头八合里海记牛肉店,https://www.dianping.com/shop/l4O4pfSsbnHXVf9V,学清路甲38号金码大厦嘻番里4层,[北京],,52806899,2024/9/11 22:00,,,,,,
万重锦·人文川菜馆,https://www.dianping.com/shop/iBs3pRZDA2rKCRkK,顺城大街289号富力广场2号门1楼(上升街与顺城大街近、交汇处。,[成都],,62328865,2024/9/10 23:52,,,,,,
撞树烤肉·山葵,https://www.dianping.com/shop/k2556mvfNb7Mbz59,团结湖路9号楼1层（颐酒店背后）,[北京],,18311363693,2024/9/6 21:08,,,,,,
本垒美式烤肉,https://www.dianping.com/shop/EPm03omWa0rQ30Xo,工人体育场北路4号10号楼一层106号,[北京],,4000967670,2024/9/6 20:26,,,,,,
喜家巷子土鲫鱼·辣炒鸡·湖南下饭菜,https://www.dianping.com/shop/l41UyZNWoKrcOG9U,信息路30号上地大厦一层A101室,[北京],,88380920,2024/9/6 11:25,,,,,,
兰马拉面,https://www.dianping.com/shop/k1K1n05fBvccbU3N,广安门内大街223号,[北京],,63037156,2024/9/1 21:47,,,,,,
吾行牛排坊·口味熟成牛排,https://www.dianping.com/shop/G4M1kYpZg4ugQ0tq,金融街中心C座一层108（由金融街中心大厦西门进入）,[北京],,17611711314,2024/8/29 11:52,,,,,,
嬲塞de湘菜馆,https://www.dianping.com/shop/G5FVa1wbWZ3CeF9n,成府路29号五道口国际食尚苑一楼,[北京],,18510009941,2024/8/25 19:13,,,,,,
嫩牛家潮汕牛肉火锅,https://www.dianping.com/shop/G2ajZjtzA3fsxUTq,上地东里四区1号楼底商,[北京],,18515667372,2024/8/23 19:04,,,,,,
新村锅盖烤肉,https://www.dianping.com/shop/kab7rhA4rz8AMoFb,广顺北大街望京新城四区420号楼外熊家城2层,[北京],,64741988,2024/8/22 20:26,,,,,,
北京厨房,https://www.dianping.com/shop/G1fwjUy9nu6boy01,北苑路98号院1号楼DT51商场6层,[北京],,64921142,2024/8/21 10:10,,,,,,
豆号BEANHOUSE,https://www.dianping.com/shop/l2sToXY5IfyzmVwr,建国路87号北京SKP商场B1层,[北京],,15901454376,2024/8/18 20:03,,,,,,
惊讶喜剧脱口秀-北京,https://www.dianping.com/shop/G2j2HCTAMbhgOsRu,南阳胡同6号南阳共享际,[北京],,,2024/8/18 19:18,,,,,,
叫板比萨Gung Ho,https://www.dianping.com/shop/k5ExzV4xVgnTTf3k,东方东路亮马桥官舍北区B1层,[北京],,68882678,2024/8/18 19:08,,,,,,
笔记安顺夺夺粉火锅,https://www.dianping.com/shop/G4sxkSDy6BRTMjYB,中关村大街28号中海园美食街负1层1-A2013号（蜀牛婆、巴依老爷旁）,[北京],,13693092390,2024/8/18 17:38,,,,,,
龚二姐湖南菜馆,https://www.dianping.com/shop/G7Nz2ij1twFWpIEJ,西八里庄北里小区25号楼底商,[北京],,88123776,2024/8/18 14:01,,,,,,
滨寿司,https://www.dianping.com/shop/kaWHpysb7osV4PeR,"公园路6号SOLANA蓝色港湾MALL里2层M—235,236商铺",[北京],,13011890551,2024/8/15 13:50,,,,,,
滨寿司,https://www.dianping.com/shop/H46I2XpTNWuRtty2,三丰北里5号楼05层(05)501内508,[北京],,18612024911,2024/8/15 13:50,,,,,,
POLPO by LMPLUS,https://www.dianping.com/shop/k3Z2ASLmS1SN8qCU,朝外大街6号新城国际公寓11-109商铺（11号楼大堂左侧）,[北京],,65336366,2024/8/14 12:10,,,,,,
杨二姐涮肉·滩羊烧烤,https://www.dianping.com/shop/H5b9eNa9JygDRoOo,永定路28号,[北京],,68187172,2024/8/7 0:04,,,,,,
Annie's market(安妮超市),https://www.dianping.com/shop/iLFm2l1J5WQhMtf7,东四环北路6号阳光上东安徒生花园29-219(园区楼梯上二层)导航安徒生花园东南一门,[北京],,85990146,2024/8/4 16:20,,,,,,
喜鼎海胆水饺,https://www.dianping.com/shop/l1DewLCpo3G0wDzX,麦子店街道公园路6号蓝色港湾近东侧停车场,[北京],,18310531570,2024/8/2 19:44,,,,,,
PokeGo波奇饭,https://www.dianping.com/shop/HaxrI9SRuX21BGZ5,东三环中路财富金融中心B1-111号,[北京],,15811072258,2024/7/31 16:46,,,,,,
腊罗巴云南菜,https://www.dianping.com/shop/G4lXoQ67BUao6pd3,皂君庙路皂君西里7号楼南侧,[北京],"116.334752,39.959104",62120281,昨天20:58,13.27 km,24 min,15.83 km,63 min,9.76 km,40 min
蜗牛小馆醉乡民谣云南菜,https://www.dianping.com/shop/l1UISZRsVtnd18zM,安苑路惠新西里一区2号楼瑞尔利宾馆1层,[北京],"116.421417,39.982041",13146759566,昨天20:50,19.52 km,31 min,18.36 km,72 min,14.78 km,62 min
星爺渔荘·廣東順德菜,https://www.dianping.com/shop/k9G1xDaln5SCJkvi,朝阳门内大街75号院佳龙酒店B座首层,[北京],"116.430883,39.925111",18810686368,昨天16:32,22.62 km,42 min,25.09 km,96 min,21.51 km,72 min
星爺排檔·廣東順德菜,https://www.dianping.com/shop/G406Oo6nCe2J5kZm,慧忠里231号楼,[北京],"116.406311,40.000984",13161629988,昨天16:31,13.79 km,29 min,15.80 km,64 min,12.18 km,47 min
CozyCow,https://www.dianping.com/shop/l7h26xbt2elb24kc,团结湖街道团结湖路14号团结新里together17-102,[北京],"116.467215,39.929891",13683133127,2024/7/21 17:36,23.66 km,46 min,26.13 km,93 min,22.55 km,77 min
BOCATA by Carmen,https://www.dianping.com/shop/FGOOhwAaIY4KIcx0,东直门外大街12号东门小楼1层（卡塔尔大使馆对面）,[北京],"120.224156,26.987815",64175291,2024/7/20 21:42,1740.47 km,1139 min,1746.55 km,1192 min,1741.10 km,1177 min
苏泰·辣椒餐厅,https://www.dianping.com/shop/l9EdVaB0jnrrkude,永定路66号长峰假日酒店1层,[北京],"116.265172,39.909055",88213345,2024/7/20 21:41,17.85 km,28 min,20.55 km,78 min,18.48 km,61 min
苏泰·辣椒,https://www.dianping.com/shop/Fc29dDePhsZV8CLV,麦子店西街38号三全公寓1层,[北京],"116.467050,39.947523",65077326,2024/7/20 21:41,22.44 km,43 min,24.91 km,84 min,21.34 km,69 min
Grande A'moo,https://www.dianping.com/shop/l47BGrkMn8pV4dkU,常通路1号龙湖北京长楹天街西区一楼8号门旁,[北京],"116.596852,39.924866",15901393623,2024/7/20 11:54,34.14 km,72 min,36.14 km,114 min,32.53 km,95 min
湘临天下,https://www.dianping.com/shop/G3yDTj3yvrk1v80V,建国路128号中航工业大厦2层,[北京],"116.463969,39.906286",65120999,2024/7/15 23:53,33.35 km,57 min,28.82 km,104 min,25.25 km,91 min
胶东刘妈妈肉汁饺子,https://www.dianping.com/shop/l8NXi4o7L0mDfHss,798艺术区3818库（悦美术馆对面冰淇淋饮料店后面的小胡同里）,[北京],"116.495027,39.983285",15953551403,2024/7/10 11:31,22.73 km,48 min,25.88 km,101 min,22.27 km,83 min
泸州幺妹私房菜,https://www.dianping.com/shop/G7QrVYG45X3FYSOC,学院路37号,[北京],"116.350943,39.980626",18201061371,2024/7/10 11:02,12.06 km,21 min,13.43 km,55 min,7.76 km,33 min
盛中钰广味小馆,https://www.dianping.com/shop/G4F3o7XktSE7x7MY,革新里60号盛购文体礼品中心,[北京],"116.394369,39.865940",67069168,2024/7/9 10:46,29.82 km,49 min,32.07 km,98 min,30.45 km,85 min
马年代涮肉小海鲜,https://www.dianping.com/shop/k8PX4jEtbXnNUYUi,庑殿路10号院1-9,[北京],"116.443493,39.808981",17170133666,2024/7/8 20:37,41.22 km,50 min,43.92 km,105 min,41.85 km,92 min
南昌花姐小吃·拌粉·水煮,https://www.dianping.com/shop/k2Og3UVvAWwijmPw,郁花园一里底商21号楼1-102,[北京],"116.338105,39.774568",15079077530,2024/7/8 20:35,43.18 km,48 min,49.27 km,108 min,43.81 km,93 min
安妮意大利餐厅,https://www.dianping.com/shop/l8Wegnb7sZobtRXg,成府路35号东源大厦3层（近五道口地铁站）,[北京],"116.338611,39.992552",62573122,2024/7/8 9:29,8.28 km,22 min,12.47 km,52 min,6.80 km,30 min
利桥顺酒楼,https://www.dianping.com/shop/G93IiQWXaiu9EowH,学院路街道志新路16号(北方鑫柜西侧),[北京],"116.366341,39.993549",82380050,2024/7/8 9:28,9.83 km,23 min,12.81 km,53 min,8.35 km,32 min
多味居,https://www.dianping.com/shop/k6qgMjDQExfT75tR,府学胡同与中剪子巷交叉口西南角,[北京],"116.411946,39.935733",64065305,2024/7/8 9:27,19.01 km,42 min,21.48 km,82 min,17.91 km,63 min
北平楼烤鸭·京菜,https://www.dianping.com/shop/k6Myr1ttLWr9bcKx,花园路街道牡丹园西里16号楼1-2层（牡丹园地铁站F口步行200米）,[北京],"116.370262,39.977972",82082197,2024/7/8 9:27,14.95 km,26 min,15.38 km,58 min,11.81 km,40 min
清真·鸦儿李记·涮肉,https://www.dianping.com/shop/G3jqOKHidE7IeCRo,和平里西街67号（近地铁5号线和平里北街站）,[北京],"116.418054,39.958190",64295466,2024/7/8 9:25,17.52 km,33 min,20.00 km,70 min,16.42 km,53 min
福叁咖啡&小红帽三明治,https://www.dianping.com/shop/laKgmeBMpQvW3WDy,美术馆东街22号北配楼1层,[北京],"116.411337,39.926144",15901088582,2024/7/7 13:06,19.88 km,44 min,22.36 km,86 min,18.78 km,66 min
拉蒂娜·巴西牛排馆 Latina·Brazilian Steakhouse,https://www.dianping.com/shop/k1B0wQY3UeBscMOn,东方东路19号亮马桥外交办公大楼官舍2楼201号,[北京],"116.463936,39.951686",85315287,2024/7/6 10:19,21.49 km,40 min,23.96 km,80 min,20.39 km,64 min
北焰牛排馆·BBQ烤房 FireWorks,https://www.dianping.com/shop/l6WCOpGAlFti0r5T,北苑路18号院4号楼1层4、5号（地铁5号线立水桥南站C口往北50米辅路路东）,[北京],"116.416257,40.046237",64112665,2024/7/6 9:48,14.24 km,37 min,16.25 km,69 min,12.63 km,53 min
曦彤轩饭店,https://www.dianping.com/shop/H6oTVdICVsNEeOzi,崇文门东大街8-1号,[北京],"116.429598,39.900363",18515464723,2024/7/5 22:10,27.68 km,57 min,29.06 km,110 min,25.48 km,89 min
许太阳炸鸡拌面,https://www.dianping.com/shop/kat8rE6QnWQWKP8d,阜成门外大街2号万通金融中心负一层顺天府超市出口许太阳炸鸡店,[北京],"116.354261,39.922911",13683571830,2024/7/4 11:53,17.99 km,33 min,20.73 km,73 min,18.63 km,51 min
第六季自助餐厅,https://www.dianping.com/shop/G5CTC8xkPnc5kofr,中关村大街27号中关村大厦2层,[北京],"116.316427,39.977667",82888189,2024/7/3 23:55,8.06 km,21 min,10.10 km,43 min,6.58 km,27 min
Laksa Queen 叻沙娘娘,https://www.dianping.com/shop/G8EZt8YW64rQOHJU,霄云路后街15-75号,[北京],"117.150689,40.690334",82062368,2024/7/3 17:40,143.92 km,124 min,151.50 km,140 min,142.31 km,161 min
黑知了Burning Fire,https://www.dianping.com/shop/k33JjNB6XpnVr3Bn,天泽路9号（美国大使馆东门对面）,[北京],"116.467352,39.954463",17278151315,2024/7/3 17:39,25.52 km,41 min,26.27 km,94 min,22.65 km,77 min
黄金周·美味流香店,https://www.dianping.com/shop/G4kev1PpcKCiRDLE,育慧南路芍药居5号院9号楼（对外经贸大学东门对面）,[北京],"116.431323,39.981450",13552944531,2024/7/3 17:18,19.81 km,29 min,22.81 km,78 min,19.20 km,65 min
