名称,J_shopt href,地址,city,经纬度,tel,time,北京树村丽景苑距离,北京树村丽景苑时间,北京海淀区万家灯火大厦距离,北京海淀区万家灯火大厦时间,北京建外soho西区距离,北京建外soho西区时间
BRANDY&MELVILLE,https://www.dianping.com/shop/l5MjJhyBQFQtfrhb,工人体育场北路4号10幢2层,[北京],"116.457389,39.932271",,2025/1/5 10:33,23.33 km,81 min,Error,Error,Error,Error
Monday Sleeping Club,https://www.dianping.com/shop/jkLh308t3TFbXQKr,三里屯街道,[北京],"116.447219,39.937610",,2025/1/5 10:32,27.73 km,85 min,Error,Error,Error,Error
韩鼎丰·韩国料理,https://www.dianping.com/shop/H145NVtmyvyQAStl,林奥CITYPARK购物中心B1电影院旁边,[北京],"116.703133,40.129426",19919997389,2025/1/4 22:56,Error,Error,Error,Error,Error,Error
大连雪龍和牛鲜肉铺,https://www.dianping.com/shop/kaSD0pKSlniQo2Uf,芳园南里9号院6号楼1层122号,[北京],"116.485094,39.970726",15811110203,2025/1/4 21:57,24.60 km,67 min,Error,Error,Error,Error
作作烧肉,https://www.dianping.com/shop/FAqoEmcP67r9WQ8N,阜通西大街合生麒麟新天地商场二层中影中数影城旁,[北京],"116.477742,39.997101",13581955591,2025/1/4 17:56,Error,Error,Error,Error,Error,Error
先金达餐厅,https://www.dianping.com/shop/k1Oc3ODpU78DQ2Bu,法华寺街93号,[北京],,13910174623,2025/1/4 17:55,Error,Error,Error,Error,Error,Error
belo park彼落公园,https://www.dianping.com/shop/la31hDpksdQGtlHk,将台乡房村临甲十号将府公园南区北门,[北京],,15010991713,2025/1/4 10:43,Error,Error,Error,Error,Error,Error
广阳书院,https://www.dianping.com/shop/G9h7zDSYTO1lwf84,广安门内大街49号(菜市口地铁站A西北口步行150米)广阳谷森林公园内,[北京],"116.374425,39.889297",,2025/1/4 10:42,Error,Error,Error,Error,Error,Error
Adagio,https://www.dianping.com/shop/Gad8CDwoB5pqj0EN,麦子店街53号亮马港湾大厦中楼三层（如需停车请提前致电门店报备车牌号）,[北京],"116.468107,39.948417",18612883856,2025/1/4 10:42,Error,Error,Error,Error,Error,Error
3W咖啡,https://www.dianping.com/shop/HaJmRXiFuaaqjkKE,颐和园路5号北京大学第二教学楼地下,[北京],"116.313146,39.989455",62759088,2025/1/4 10:38,6.51 km,23 min,11.73 km,42 min,26.99 km,75 min
浙鲜小厨,https://www.dianping.com/shop/k4pqZNiy2wrnZGgG,小营路6号道尔泰商场入口,[北京],"116.407387,39.904179",13718888221,2025/1/4 8:36,4.20 km,20 min,6.73 km,25 min,28.36 km,97 min
成都厨房,https://www.dianping.com/shop/G22A9UqGgqugrFrY,长安北路261号SKPA馆12层01号,[西安],"108.948131,34.247464",83698898,2025/1/3 18:14,,,,,,
云亍chu面包事务所,https://www.dianping.com/shop/G9o48lk074wTqrgo,半壁店(齿轮总厂车桥分厂)33幢平房12,[北京],"116.609741,39.925787",13552959442,2025/1/1 23:22,Error,Error,37.19 km,95 min,Error,Error
檀味私房料理,https://www.dianping.com/shop/l8rj0T22BHpwOQq7,东四北大街230号,[北京],"116.417389,39.932213",19371643213,2025/1/1 18:33,19.34 km,67 min,21.56 km,68 min,Error,Error
洱火云南酸菜牛肉火锅,https://www.dianping.com/shop/jNx6C2P7RUsNdrJY,成府路国际食尚苑步行街B区二楼,[北京],"116.338485,39.993840",82839889,2025/1/1 18:28,7.05 km,30 min,Error,Error,Error,Error
木辛水水冰煮羊·铜锅涮肉,https://www.dianping.com/shop/G3N7kafKszOBlNys,帽儿胡同39号（北门涮肉旁）,[北京],"116.399078,39.936469",64009704,2025/1/1 18:28,17.63 km,59 min,19.86 km,60 min,8.71 km,39 min
疆湖新疆拌面馆,https://www.dianping.com/shop/H9lsGoAzsbrLxcdi,阜安西路望京SOHO中心T2塔B座2层2209室,[北京],"116.480267,39.997841",13552412905,2025/1/1 18:27,22.39 km,60 min,24.55 km,64 min,12.84 km,56 min
山城嗨辣壳,https://www.dianping.com/shop/l8b9QJ5sct51FWFG,太平街物美超市西侧底商125号,[北京],"116.387671,39.875037",13717711232,2025/1/1 18:26,Error,Error,Error,Error,10.09 km,31 min
母大孃宜宾燃面,https://www.dianping.com/shop/H9RemtMSpvAJWHMO,"常惠路北辰福第V中心(常营地铁C口出直走80米)开车从招商银行附近下地库B2,B座到B1层出来就是",[北京],"116.598609,39.925115",15710090833,2025/1/1 18:26,33.28 km,93 min,Error,Error,13.83 km,57 min
恩施三绝腊肉面,https://www.dianping.com/shop/G4errGiPlQMczXZy,朝阳路67号财满街8号楼1层160靠近停车场（朝阳路高井公交站）,[北京],"116.537479,39.916966",15587545979,2025/1/1 18:25,Error,Error,Error,Error,Error,Error
眉州东坡,https://www.dianping.com/shop/k7sk0nFWb7RO15zA,农大南路一号院1楼上地华联购物中心一层二层,[北京],"116.312341,40.039577",62410390,2025/1/1 14:17,Error,Error,Error,Error,Error,Error
天妇罗圆香,https://www.dianping.com/shop/H15uYficuNPSx07I,麦子店街78号2幢1层一番街東館一层,[北京],,17600690950,2024/12/31 14:55,27.41 km,76 min,Error,Error,5.94 km,36 min
米店·云南菜,https://www.dianping.com/shop/G3AuN8L38WJpFmqV,南马道巷5号7-1号楼,[西安],,87381960,2024/12/31 13:16,,,,,,
珑湘荟·臭鳜鱼,https://www.dianping.com/shop/l80FSZUeQW7gqMZc,东四十条22号A16,[北京],"108.481671,34.300932",64013199,2024/12/31 9:38,Error,Error,22.71 km,74 min,Error,Error
鸟屯,https://www.dianping.com/shop/k69HuJj37Od2qzuI,北下关街道中关村南大街甲18号（北京国际大厦D座一层）,[北京],"116.324965,39.953802",53687333,2024/12/31 9:37,Error,Error,Error,Error,18.42 km,62 min
LONG TALK & MOLA,https://www.dianping.com/shop/H3LWYDW8WVXQejet,雨儿胡同15号一层底商,[北京],"116.400961,39.935938",13121800925,2024/12/31 9:28,19.05 km,66 min,Error,Error,Error,Error
茉 MO Jasmine,https://www.dianping.com/shop/l4MII9mdd39JSIEu,金和东路20号正大中心商业北塔L3层L307号,[北京],"116.467852,39.912578",85821919,2024/12/31 9:25,Error,Error,Error,Error,1.23 km,5 min
龙庭 The House of Dynasties,https://www.dianping.com/shop/k4vE2FtRn0JNqNDp,东三环北路呼家楼京广中心瑰丽酒店4层（近呼家楼地铁站D出口、渣打银行、朝阳剧场斜对面）,[北京],"116.461601,39.923317",65360066,2024/12/31 9:23,Error,Error,Error,Error,Error,Error
DOS道肆,https://www.dianping.com/shop/G2FnD4fqzo4FDdzh,"东坝镇半截塔路53号1-05或者是:(不用进园区,我们在中国国家地理图书后面)（进园区东南门后左转直行50米后左转看到长颈鹿的白色二层尖顶房子）",[北京],"116.516065,39.966115",13311066698,2024/12/31 0:06,Error,Error,Error,Error,Error,Error
晴空·日本料理,https://www.dianping.com/shop/H824BaQlIjZXnLY8,金宝街58号华丽大厦一层南门,[北京],"113.945743,22.515947",18500066123,2024/12/30 23:30,Error,Error,Error,Error,4.52 km,18 min
广州保利洲际酒店·CHAR bar & grill 恰餐厅及酒吧,https://www.dianping.com/shop/k96zfngTiakI4JsG,阅江中路828号广州保利洲际酒店1楼（万胜围地铁站D出口通道直达，近保利广场/万胜广场/广交会展馆）,[广州],"113.383387,23.098822",89228888,2024/12/30 17:26,,,,,,
德厨私房菜,https://www.dianping.com/shop/G82ONsAmsojuJWdY,庙前西街15号之八首层B101房,[广州],"113.294089,23.121735",87670988,2024/12/30 17:26,,,,,,
马旺子•101年纪念店,https://www.dianping.com/shop/H2HsqC4FYcLNWOTt,交子大道300号1栋1单元1号W酒店1楼,[成都],"104.054987,30.583171",68881923,2024/12/30 17:26,,,,,,
丹江渔村·小院,https://www.dianping.com/shop/l6S4vDUkgS3EHk0a,北旱河路168号-3号,[北京],,68188819,2024/12/30 17:23,Error,Error,Error,Error,32.82 km,88 min
Bon Boeuf 炭索餐厅,https://www.dianping.com/shop/G1FwYJhn2RWsVqz0,建国门外大街22号赛特+购物中心1号楼1层L1-06室,[北京],"116.441641,39.907608",17611688066,2024/12/30 17:23,Error,Error,Error,Error,Error,Error
羊大爷武涮堂,https://www.dianping.com/shop/k4G66er711rLTn5a,"团结湖东里(姚家园路南)团结新里4-101/102（必吃榜米其林双榜品牌,铜锅涮肉武涮吃法新选择,院内有停车位,可接宴请包间用餐）",[北京],,18612987263,2024/12/30 17:21,Error,Error,Error,Error,Error,Error
同里茶楼,https://www.dianping.com/shop/k36QiHpAtn4N08OR,新国展裕丰路1号同里市集二楼（入口:本楼前西侧正门上二楼或搭乘本楼北侧同里市集内电梯上二楼出电梯右拐）,[北京],"116.543623,40.072933",87746606,2024/12/30 17:20,Error,Error,Error,Error,Error,Error
彼岸书店•读书•茶空间,https://www.dianping.com/shop/l89JQWCTtI7cl07r,花园路街道花园路2号牡丹科技大厦1楼(翠微大厦北侧),[北京],"116.367214,39.978399",82282696,2024/12/30 10:39,Error,Error,Error,Error,Error,Error
丁勾儿Timeout咖啡,https://www.dianping.com/shop/l2fPotm7s4Rm89xu,太平桥大街98号中海凯旋北侧底商（辟才胡同路南）,[北京],"116.363836,39.913006",65978132,2024/12/30 10:38,Error,Error,Error,Error,Error,Error
什旿shíwǔ·一家食肆,https://www.dianping.com/shop/ka5cTTA8Z1ZETnu4,芳园西路6号颐锦广场院内直走左边,[北京],"116.480968,39.974924",13146881515,2024/12/30 10:34,24.72 km,66 min,25.36 km,63 min,11.82 km,39 min
Koyama Parking,https://www.dianping.com/shop/l5Y5qby6G5jaHL1c,〒810-0023 福岡県福岡市中央区警固１丁目６−4,[福冈],,-7538369,2024/12/29 23:29,,,,,,
Mae Klong Seafood,https://www.dianping.com/shop/H4lKc9AqWrKRDtqC,"198 Phran Nok Phutthamonthon Sai 4 Rd, Bang Phrom, Taling Chan,  10170泰国",[曼谷],,,2024/12/29 23:29,,,,,,
六安居,https://www.dianping.com/shop/l9JCM5CxcGG8rTWE,上环德辅道西40-50号,[香港],"114.151983,22.284868",-21568476,2024/12/29 23:28,,,,,,
六爷土菜,https://www.dianping.com/shop/H5oDKZire5HKezDb,凤羽村十组15号,[长沙],"113.030062,28.271370",13142299165,2024/12/29 23:28,,,,,,
豪生酒家,https://www.dianping.com/shop/j9sRtl6BZpNkiNQs,广元路156号,[上海],"121.439869,31.199214",13901823035,2024/12/29 23:15,,,,,,
炎·薪火料理,https://www.dianping.com/shop/l8EzMPpcXaN1SOUo,横山路树下小白屋2楼,[安吉县],"119.777999,30.759800",15336998578,2024/12/29 23:15,,,,,,
宴遇·福建菜,https://www.dianping.com/shop/kao4r7DPQKnjQqaW,会展路与长安南路辅路交叉口正东方向150米左右,[西安],"108.947906,34.195352",,2024/12/29 18:45,,,,,,
铭家小院私家菜,https://www.dianping.com/shop/H66DMsS0ziGl2dQi,锦业路与丈八二路交叉口北240米（吉的堡幼儿园南）,[西安],"108.879376,34.196731",65660555,2024/12/29 18:44,,,,,,
铭家,https://www.dianping.com/shop/l2OphNwuS2oNCXr6,芙蓉西路东200米芙蓉新天地9号楼,[西安],"108.975751,34.207561",89836777,2024/12/29 18:44,,,,,,
庄德面,https://www.dianping.com/shop/E2LC67ZHfPToWhm2,凤城十二路汇通太古城英皇之都7号楼裙楼10101号商铺,[西安],,18165476279,2024/12/29 18:44,,,,,,
庄德面,https://www.dianping.com/shop/H33vUeURvHyH0tjK,凤城三路6号大院,[西安],"108.958170,34.321904",86185507,2024/12/29 18:44,,,,,,
叁楼伴·佛跳墙海鲜火锅,https://www.dianping.com/shop/Flrb6GSUF8IPBTB1,南门永宁里6楼（进城墙入口处右转30米电梯上6楼）,[西安],"108.948546,34.240462",,2024/12/29 18:43,,,,,,
西安W酒店·YEN飨艳中餐厅,https://www.dianping.com/shop/k3BjWYDiBjHSPACi,曲江街道曲江池东路333号W酒店二楼(曲江池东路与曲江池南路交口北200米路东),[西安],"108.990477,34.194880",89669999,2024/12/29 18:42,,,,,,
京烧·居酒屋,https://www.dianping.com/shop/l1JMD0qb1oUVQBkf,常乐路西段老电影院市场,[杨陵区],"108.066475,34.270252",18292027508,2024/12/29 18:41,,,,,,
滩羊铺子,https://www.dianping.com/shop/laL6GGdloGz6aJ6b,上庄路与东马坊路交叉口西行50米路北（翠湖幼儿园西侧100米）,[北京],"116.214555,40.098750",18515685040,2024/12/29 17:58,14.91 km,36 min,Error,Error,41.39 km,97 min
滩羊铺子,https://www.dianping.com/shop/ka8vuOOrklOOSeWk,世桥国贸公寓西门旁50米,[北京],"116.461992,39.899361",87789678,2024/12/29 17:58,27.70 km,98 min,29.93 km,107 min,2.41 km,11 min
金盛福大馅饺子,https://www.dianping.com/shop/H3v4kiZtdde1kcxJ,北四环西路66号中国技术交易大厦B1层,[北京],"116.307594,39.984129",,2024/12/29 17:35,8.21 km,26 min,11.11 km,39 min,26.36 km,72 min
中建餐厅,https://www.dianping.com/shop/k5wXjhZTaVZz4v1U,垡头街金蝉北里21号院内,[北京],"116.509490,39.869084",18801331681,2024/12/29 15:23,37.27 km,99 min,37.92 km,98 min,9.75 km,33 min
Fruto de Vida,https://www.dianping.com/shop/k4TSCG50ryYOJHl3,光华路1号嘉里中心1层115号,[北京],"116.460306,39.913970",65002973,2024/12/29 9:53,25.59 km,90 min,Error,Error,Error,Error
铁手咖啡&烘焙,https://www.dianping.com/shop/k3HeaODaMC7hPGIW,中关村南三街18号17幢1层109,[北京],"116.407387,39.904179",15311873352,2024/12/28 14:25,8.03 km,36 min,13.76 km,50 min,19.09 km,71 min
932°F PIZZA MARKET,https://www.dianping.com/shop/l6jkS2sJ6lMkli0W,北三环西路8-13号1733商业空间B1层06号,[北京],"116.345582,39.966403",15600737989,2024/12/28 11:15,13.70 km,37 min,16.60 km,51 min,18.01 km,67 min
WIKI burger,https://www.dianping.com/shop/k56SBmU9FIPbxxJL,地勘路1号附29号,[成都],"104.122691,30.681744",13880992218,2024/12/27 19:58,,,,,,
vertigo日珥,https://www.dianping.com/shop/k6QFbNGsVAnKZbfp,东四北大街458号（东四地铁站B东北口步行210米）,[北京],"116.418071,39.925092",18519322948,2024/12/26 21:48,Error,Error,23.02 km,74 min,5.93 km,25 min
野风筝Taphouse,https://www.dianping.com/shop/k8gggKwlB38TFs5V,东三环中路7号院一层1-15-2店铺,[北京],"116.459196,39.917111",18515687181,2024/12/26 20:46,Error,Error,27.61 km,95 min,1.82 km,10 min
靠墙吃·海鲜大馅饺子,https://www.dianping.com/shop/k76FgMfZfnxKT08f,通惠河北路建外SOHO东区7号楼1楼0721B号,[北京],"116.458171,39.904979",18610555177,2024/12/26 20:44,Error,Error,33.90 km,86 min,Error,Error
北京龙记茶餐厅,https://www.dianping.com/shop/G1GgBg56B75eaxT1,建国门外大街光华东里8号院1−3号楼B1-01−B,[北京],"116.456614,39.910879",65958546,2024/12/26 20:43,Error,Error,Error,Error,1.50 km,7 min
李串串老店·李杰一家三口,https://www.dianping.com/shop/l38WB7yAzJDqFWi0,中关村街道荷清路与成府路交叉路口往西南约200米(启明双语幼儿园东南侧),[北京],"116.334892,39.991856",19923846773,2024/12/26 20:38,Error,Error,Error,Error,23.97 km,72 min
黔韵贵州私房菜,https://www.dianping.com/shop/G6nV34nE7BlNCn7V,家具大道美联居尚底商,[北京],"116.460336,39.861773",13765585192,2024/12/26 20:38,Error,Error,37.91 km,101 min,6.33 km,27 min
Le Buaspace 布啊法餐,https://www.dianping.com/shop/G3H647NSGWbwbWpJ,"百子湾南二路竞园艺术中心12—F（开车从南门进入,步行近园区北门）",[北京],"116.510387,39.896078",13051176612,2024/12/26 20:37,Error,Error,37.80 km,98 min,Error,Error
Dram Bistro德拉姆,https://www.dianping.com/shop/l25sZw1mHuv9l9Mj,金街哈尔滨道116号,[天津],"117.201348,39.125075",18222453574,2024/12/26 20:35,,,,,,
四季酒店·津韵中餐厅,https://www.dianping.com/shop/H1xXInRNTOQs4xH0,赤峰道138号,[天津],"117.198083,39.119782",27166688,2024/12/26 20:34,,,,,,
辉烧肉·日式熟成牛肉专门店,https://www.dianping.com/shop/G86GqPwx7m8nkciO,将台路6号丽都广场b102号商铺,[北京],"116.490792,39.970403",64386672,2024/12/26 20:34,Error,Error,25.80 km,70 min,Error,Error
璞YUN·云南菜,https://www.dianping.com/shop/H2ozuuoiS6nnnMFl,永安里中街永安西里12号国泰饭店一层西侧,[北京],"116.448551,39.907198",65050507,2024/12/26 20:33,Error,Error,Error,Error,Error,Error
#024凯珍餐厅,https://www.dianping.com/shop/G8ogiqDm13sFBcJy,三里屯路北三里屯24号楼1层106室,[北京],"116.450963,39.935469",60240024,2024/12/26 20:32,Error,Error,Error,Error,Error,Error
披萨妈妈 PIZZA MAMA,https://www.dianping.com/shop/laUnk5DgZx4BwaGN,工人体育场东路东侧中国红街6号楼0108,[北京],"116.450777,39.931405",85950317,2024/12/26 18:57,Error,Error,Error,Error,Error,Error
猁xMCC·肋排·精酿·鸡尾酒,https://www.dianping.com/shop/io2Fy8QD1EsoYHdY,奥园西路一号院1号楼一层1-105号(请导航北投奥园1314北停车场)),[北京],"116.396499,39.979873",18310617988,2024/12/26 18:56,Error,Error,Error,Error,Error,Error
云华阁,https://www.dianping.com/shop/H62TNMBZCiPYA3wu,安定门外大街168号北京中矿宾馆1层101号,[北京],"116.409380,39.954886",64270200,2024/12/26 10:04,Error,Error,Error,Error,Error,Error
宴遇·福建荟馆,https://www.dianping.com/shop/k7uey8JixS1y3DzQ,西大望路北京SKP6层,[北京],"116.477407,39.894159",65911236,2024/12/26 10:02,Error,Error,Error,Error,Error,Error
武夷山农家菜,https://www.dianping.com/shop/k7gixQszWzpxKLFv,马连道路25号新年华购物中心F4层,[北京],"116.325907,39.877178",18600038604,2024/12/26 10:02,Error,Error,Error,Error,Error,Error
厦门大厦颐豪酒店-颐园餐厅,https://www.dianping.com/shop/k6ojH85YTZEypicV,中关村街道知春路46号厦门大厦颐豪酒店（知春路46号）,[北京],"116.339131,39.975900",62179889,2024/12/26 10:01,Error,Error,Error,Error,Error,Error
牛八宝桂林米粉,https://www.dianping.com/shop/l2HW4jUNP68Pg9wD,石佛营路东八里庄北里129号院9-7号,[北京],"116.494527,39.921637",18810805585,2024/12/26 10:00,Error,Error,Error,Error,Error,Error
南宁食府·那兰酒楼,https://www.dianping.com/shop/k8r0GAdNTAJGmoSU,德胜门外大街71号南宁大厦四层楼,[北京],"116.378594,39.957393",82064099,2024/12/26 9:59,14.06 km,40 min,Error,Error,12.47 km,41 min
漆黑觉米粉,https://www.dianping.com/shop/l4MD7cgtodyfqt9f,三里屯北街64号,[北京],"116.454584,39.936239",15210947996,2024/12/26 9:59,23.66 km,81 min,Error,Error,4.80 km,29 min
漆黑觉米粉,https://www.dianping.com/shop/FsBZFOZdLdjR0bwG,北苑路98号院1号楼DT51负1层B1003号,[北京],"116.418810,39.999580",13241331009,2024/12/26 9:59,14.40 km,38 min,Error,Error,17.77 km,56 min
浣花春,https://www.dianping.com/shop/G4q4jERByctGXjWb,工人体育场北路6号凯富大厦三层（三里屯机电院中国银行楼上）,[北京],"116.456619,39.930604",65916018,2024/12/26 9:57,23.67 km,84 min,Error,Error,4.63 km,31 min
油菜花香江西私房菜,https://www.dianping.com/shop/H8qXxXNhO7VbFtJf,彭庄甲58号（金泰绿洲大酒店院内）,[北京],"116.435034,39.940005",63021751,2024/12/26 9:54,69.82 km,108 min,76.02 km,102 min,62.45 km,102 min
阿鸡鱼庄,https://www.dianping.com/shop/G26vlx8uL6CqV9Sn,安慧北里小街安园5号底商101号(近奥体公园),[北京],"116.412613,39.999927",15600134185,2024/12/26 9:53,Error,Error,16.84 km,45 min,18.00 km,56 min
清水亭湖北菜,https://www.dianping.com/shop/G3wGe3c4yf94DyHa,建国门外大街1号国贸商城南区4层SL4011号,[北京],"116.459967,39.909773",65056117,2024/12/26 9:52,Error,Error,Error,Error,Error,Error
清水亭湖北菜,https://www.dianping.com/shop/Fxs87DfqmWOTi6cU,北苑路98号院1号楼6层A6001号,[北京],"116.419169,40.017948",81330907,2024/12/26 9:52,14.22 km,36 min,16.38 km,42 min,Error,Error
渔院丹江·河鲜集,https://www.dianping.com/shop/H67pJD6vaY2kEVEb,竹园西街兰园小区A座底商（中关村二小西山分校(原东北旺中心小学)对面）,[北京],"116.275665,40.031184",62899689,2024/12/26 9:52,Error,Error,4.76 km,17 min,Error,Error
四方阁面铺,https://www.dianping.com/shop/G7CfJEM8CIK53gIy,西四东大街68号,[北京],"116.374740,39.924120",,2024/12/26 9:25,Error,Error,Error,Error,9.49 km,37 min
意满轩·精致清真菜,https://www.dianping.com/shop/l99vZ3r7roZ6TcjQ,太平桥大街丰汇园11号楼丰汇时代大厦B1-107室（近大厦西门）,[北京],"116.365110,39.915791",13810155684,2024/12/26 9:23,Error,Error,22.37 km,78 min,9.77 km,37 min
五花马,https://www.dianping.com/shop/Eb6nhIMY4dG2Xjps,雁荡路109号F108,[上海],"121.470141,31.217883",13371883879,2024/12/25 15:56,,,,,,
川禾泰,https://www.dianping.com/shop/k9sjMEeLs6ZatRph,瑞金二路街道雁荡路109号,[上海],"121.470141,31.217883",13371883879,2024/12/25 15:54,,,,,,
